attack,dataset,target_model,target_checkpoint,n_total,n_skipped_orig_wrong,n_attacked,n_success,n_failed,n_budget_exceeded,original_accuracy,after_attack_accuracy,attack_success_rate,avg_queries,avg_change_rate,avg_semantic_sim,wall_time_sec,output_dir
textfooler,reviews,youscan/ukr-roberta-base,/home/mudryi/phd_projects/xml-roberta-finetune-reviews/trained_models/7ddc/model_7ddc_7_600,9769,2317,7452,3819,3633,0,0.7628211690039922,0.3718906745828642,0.5124798711755234,112.20638754696726,0.15249704099582573,0.7775657580701791,3442.6648375988007,/home/mudryi/phd_projects/ukr-synonym-robustness/results/textfooler/reviews__ukr_roberta
textfooler,reviews,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,/home/mudryi/phd_projects/xml-roberta-finetune-reviews/trained_models/7yuz/model_7yuz_4_1200,9769,2190,7579,2726,4853,0,0.7758214760978606,0.4967755143822295,0.3596780577912653,123.19751946167041,0.1284282681674006,0.7583170164685223,3939.483694791794,/home/mudryi/phd_projects/ukr-synonym-robustness/results/textfooler/reviews__sbert_mpnet
textfooler,reviews,xlm-roberta-base,/home/mudryi/phd_projects/xml-roberta-finetune-reviews/trained_models/tmdk/model_tmdk_7_600,9769,2158,7611,2639,4972,0,0.7790971440270242,0.5089569044938069,0.34673498883195375,129.08776770463803,0.14147277331471161,0.7561660834779759,4298.1399483680725,/home/mudryi/phd_projects/ukr-synonym-robustness/results/textfooler/reviews__xlmr_base
textfooler,news,youscan/ukr-roberta-base,/home/mudryi/phd_projects/xml-roberta-finetune-reviews/trained_models/npz4/model_npz4_9_1000,10000,126,9874,801,9073,0,0.9874,0.9073,0.08112213895077983,53.999797447842816,0.22666738304819392,0.7741068912163135,1411.5735580921173,/home/mudryi/phd_projects/ukr-synonym-robustness/results/textfooler/news__ukr_roberta
textfooler,news,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,/home/mudryi/phd_projects/xml-roberta-finetune-reviews/trained_models/1kjq/model_1kjq_9_2500,10000,632,9368,1050,8318,0,0.9368,0.8318,0.11208368915456875,52.787894961571304,0.19669333756610008,0.7744269083582219,1326.3653750419617,/home/mudryi/phd_projects/ukr-synonym-robustness/results/textfooler/news__sbert_mpnet
textfooler,news,xlm-roberta-base,/home/mudryi/phd_projects/xml-roberta-finetune-reviews/trained_models/3rzr/model_3rzr_9_2500,10000,637,9363,1008,8355,0,0.9363,0.8355,0.10765780198654278,53.01249599487344,0.20032381608841168,0.7756646711508753,1325.242253780365,/home/mudryi/phd_projects/ukr-synonym-robustness/results/textfooler/news__xlmr_base
textfooler,unlp,youscan/ukr-roberta-base,/home/mudryi/phd_projects/xml-roberta-finetune-reviews/trained_models/1ozc/model_1ozc_14,382,71,311,124,187,0,0.8141361256544503,0.4895287958115183,0.3987138263665595,347.35691318327974,0.1132083216568548,0.7511602501715383,1298.6210770606995,/home/mudryi/phd_projects/ukr-synonym-robustness/results/textfooler/unlp__ukr_roberta
textfooler,unlp,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,/home/mudryi/phd_projects/xml-roberta-finetune-reviews/trained_models/zzl4/model_zzl4_14,382,70,312,151,161,0,0.8167539267015707,0.4214659685863874,0.483974358974359,319.0576923076923,0.09979670951807279,0.7571651628873881,1241.0486888885498,/home/mudryi/phd_projects/ukr-synonym-robustness/results/textfooler/unlp__sbert_mpnet
textfooler,unlp,xlm-roberta-base,/home/mudryi/phd_projects/xml-roberta-finetune-reviews/trained_models/p0g9/model_p0g9_14,382,76,306,116,190,0,0.8010471204188482,0.4973821989528796,0.3790849673202614,338.0947712418301,0.11072605784681777,0.7474529213592654,1264.5804512500763,/home/mudryi/phd_projects/ukr-synonym-robustness/results/textfooler/unlp__xlmr_base
